DATE,R_F,R_MKT,R_ME,R_IA,R_ROE,R_EG
20191120,0.0060,-0.3315,-0.4486,-0.1868,-0.7124,-0.3065
20191121,0.0060,-0.1423,-0.3001,-0.0039,-0.1114,-0.1147
20191122,0.0060,0.2399,0.3427,0.1232,0.0780,-0.0362
20191125,0.0060,0.9194,1.3398,-0.0150,-0.0544,0.2826
20191126,0.0060,0.1900,0.0657,-0.3579,0.4976,0.3491
20191127,0.0060,0.4431,0.2029,-0.0005,-0.0945,0.3697
20191129,0.0060,-0.4187,-0.1234,-0.0343,-0.1466,-0.0427
20191202,0.0068,-0.8741,-0.1190,0.1167,0.0708,-0.1340
20191203,0.0068,-0.6587,0.3940,-0.5402,-0.0536,-0.1292
20191204,0.0068,0.6021,0.1376,0.3414,0.0303,0.2947
20191205,0.0068,0.1308,0.1164,0.1751,0.6684,0.1285
20191206,0.0068,0.9130,0.3900,0.1256,-0.2722,-0.2038
20191209,0.0068,-0.3254,0.3920,-0.0792,-0.0505,-0.2812
20191210,0.0068,-0.0787,0.2194,0.1554,-0.1725,-0.1411
20191211,0.0068,0.2825,-0.2244,0.2157,0.3048,-0.1109
20191212,0.0068,0.8966,0.0838,0.4580,-0.6302,-0.2151
20191213,0.0068,-0.0346,-0.5077,-0.3658,0.0622,0.4275
20191216,0.0068,0.7372,0.0381,0.1973,-0.2594,0.1291
20191217,0.0068,0.0987,0.4920,0.0202,-0.0199,-0.0258
20191218,0.0068,-0.0474,0.3442,-0.1142,-0.1285,-0.2599
20191219,0.0068,0.4312,-0.2487,-0.0217,-0.3112,-0.0809
20191220,0.0068,0.4781,-0.3991,0.0616,0.0991,0.1033
20191223,0.0068,0.0971,0.2381,0.2717,-0.8233,-0.4571
20191224,0.0068,0.0123,0.4386,0.1122,-0.2179,-0.1780
20191226,0.0068,0.4849,-0.4821,-0.1648,0.3972,0.3794
20191227,0.0068,-0.0954,-0.5232,0.0489,0.3451,0.2394
20191230,0.0068,-0.5707,0.4078,0.4773,0.0689,-0.0940
20191231,0.0068,0.2755,0.0924,0.2751,-0.3737,-0.1222
20200102,0.0055,0.8625,-1.1226,-0.1701,0.0681,0.3382
20200103,0.0055,-0.6728,0.2341,-0.1923,-0.1558,0.0703
20200106,0.0055,0.3604,-0.3587,-0.4079,-0.4792,0.0552
20200107,0.0055,-0.1922,-0.1394,-0.3228,-0.5110,-0.2717
20200108,0.0055,0.4669,-0.1073,-0.1197,0.4543,0.6225
20200109,0.0055,0.6488,-0.6839,-0.0647,0.2945,0.5224
20200110,0.0055,-0.3352,-0.2362,-0.2053,0.0400,0.3383
20200113,0.0055,0.7292,-0.1992,0.2095,0.3052,0.0733
20200114,0.0055,-0.0559,0.4740,-0.1102,-0.9924,-0.7172
20200115,0.0055,0.1635,0.3051,-0.2651,-0.1100,0.1206
20200116,0.0055,0.8792,0.5370,-0.0322,-0.0233,0.2008
20200117,0.0055,0.2788,-0.4806,0.1980,0.6544,0.6326
20200121,0.0055,-0.3219,-0.6326,-0.3440,0.2038,0.1580
20200122,0.0055,0.0792,-0.0066,-0.0860,0.3531,0.1190
20200123,0.0055,0.0757,-0.3019,-0.0449,-0.0187,0.0408
20200124,0.0055,-0.9683,-0.6511,-0.0110,0.2647,0.2662
20200127,0.0055,-1.5575,0.3044,0.0989,0.0575,0.0739
20200128,0.0055,1.0253,-0.0134,-0.1375,-0.1389,0.2357
20200129,0.0055,-0.1041,-0.6464,0.3471,-0.2480,0.1533
20200130,0.0055,0.3373,-0.4481,-0.1615,0.3039,-0.3060
20200131,0.0055,-1.7390,-0.7135,-0.5671,-0.7632,-0.2057
20200203,0.0064,0.8387,0.1938,-0.1801,-0.0762,0.2756
20200204,0.0064,1.5682,-0.2755,-0.1523,0.1431,0.1911
20200205,0.0064,0.9705,1.1338,0.6403,0.0791,-0.6023
20200206,0.0064,0.2706,-0.7867,-0.4612,-0.2140,0.3620
20200207,0.0064,-0.5491,-0.9374,-0.4841,0.3179,0.3009
20200210,0.0064,0.7274,-0.2780,-0.5028,0.3665,0.4288
20200211,0.0064,0.2748,0.1206,0.2761,-0.8041,-0.5455
20200212,0.0064,0.6602,0.3247,0.0025,0.1620,0.0772
20200213,0.0064,-0.0908,0.1447,-0.3896,0.3239,0.2580
20200214,0.0064,0.1465,-0.5180,-0.3500,0.1194,0.2012
20200218,0.0064,-0.1896,-0.1582,-0.5661,-0.4536,-0.0614
20200219,0.0064,0.6006,0.3436,-0.4763,0.1527,-0.1174
20200220,0.0064,-0.3475,0.6089,-0.2675,-0.2193,-0.5863
20200221,0.0064,-1.1195,-0.1748,0.2653,-0.0160,-0.4526
20200224,0.0064,-3.3866,-0.0956,0.2765,-0.0937,-0.0062
20200225,0.0064,-3.0906,-0.4750,0.0772,0.3794,0.8922
20200226,0.0064,-0.5253,-0.9198,0.2579,0.1582,1.6103
20200227,0.0064,-4.2259,0.3499,0.0922,-0.4076,0.0037
20200228,0.0064,-0.7826,-0.0699,-0.4903,-0.4399,-0.5965
20200302,0.0058,4.3112,-1.7145,0.7963,1.1824,1.0477
20200303,0.0058,-2.7932,0.5843,0.0482,0.0910,-0.1160
20200304,0.0058,4.0261,-0.9108,0.3572,0.2955,0.4520
20200305,0.0058,-3.3784,-0.3666,-0.0768,-0.2051,0.8260
20200306,0.0058,-1.7818,-0.1835,0.2347,1.3572,1.2044
20200309,0.0058,-7.7820,-1.0467,0.2342,2.6176,2.9377
20200310,0.0058,4.7411,-2.2713,0.2026,0.0906,-0.1451
20200311,0.0058,-5.0539,-0.8174,0.1602,0.7959,1.1038
20200312,0.0058,-9.6288,-2.0929,0.1469,-0.1098,1.8460
20200313,0.0058,8.9646,-1.4066,0.9723,0.5958,0.2346
20200316,0.0058,-12.0028,-1.6113,1.1434,0.9842,0.9081
20200317,0.0058,5.8754,-0.3376,-0.0701,0.5476,2.1502
20200318,0.0058,-5.5592,-4.2556,0.3040,1.4454,3.2996
20200319,0.0058,1.3086,6.4324,-1.3923,-0.7648,-1.7171
20200320,0.0058,-4.1468,0.2493,-0.8651,-1.4346,0.1795
20200323,0.0058,-2.5530,1.6509,-1.3318,-0.8782,2.0487
20200324,0.0058,9.3351,0.1349,0.3824,-0.4541,-1.9822
20200325,0.0058,1.1755,0.1420,-0.2711,-0.9965,-3.0943
20200326,0.0058,6.0195,-0.6238,0.2868,0.5122,0.2334
20200327,0.0058,-3.4759,-1.0942,0.8768,-0.0315,0.7123
20200330,0.0058,3.1651,-0.7945,0.1078,0.9549,1.3300
20200331,0.0058,-1.4379,0.9867,0.1718,-0.1764,0.1659
20200401,0.0000,-4.4966,-2.3910,0.3487,0.4639,0.6615
20200402,0.0000,2.0957,-1.1851,0.9073,-0.9054,-0.2047
